%C3%89va_Tardos,Christos_Papadimitriou
%C3%89va_Tardos,G%C3%A1bor_Tardos
%C3%89va_Tardos,Johan_H%C3%A5stad
Andrew_Chi-Chih_Yao,Juris_Hartmanis
Andrew_Chi-Chih_Yao,Kenneth_E._Iverson
Andrew_Chi-Chih_Yao,Kristen_Nygaard
Andrew_Chi-Chih_Yao,Leonard_Adleman
Andrew_Chi-Chih_Yao,Leonid_Levin
Andrew_Chi-Chih_Yao,Leslie_Lamport
Andrew_Chi-Chih_Yao,Leslie_Valiant
Andrew_Chi-Chih_Yao,Manuel_Blum
Andrew_Chi-Chih_Yao,Marvin_Minsky
Andrew_Chi-Chih_Yao,Michael_O._Rabin
Andrew_Chi-Chih_Yao,Michael_Stonebraker
Andrew_Chi-Chih_Yao,Nancy_Lynch
Andrew_Chi-Chih_Yao,Niklaus_Wirth
Andrew_Chi-Chih_Yao,Ole-Johan_Dahl
Andrew_Chi-Chih_Yao,Peter_Naur
Andrew_Chi-Chih_Yao,Raj_Reddy
Andrew_Chi-Chih_Yao,Richard_E._Stearns
Andrew_Chi-Chih_Yao,Richard_Hamming
Andrew_Chi-Chih_Yao,Richard_J._Lipton
Andrew_Chi-Chih_Yao,Richard_Karp
Andrew_Chi-Chih_Yao,Robert_Tarjan
Andrew_Chi-Chih_Yao,Robin_Milner
Andrew_Chi-Chih_Yao,Ron_Rivest
Andrew_Chi-Chih_Yao,Shafi_Goldwasser
Andrew_Chi-Chih_Yao,Silvio_Micali
Andrew_Chi-Chih_Yao,Stephen_Cook
Andrew_Chi-Chih_Yao,Vint_Cerf
Andrew_Chi-Chih_Yao,William_Kahan
Andrew_Chi-Chih_Yao,Zhou_Chaochen
Andrew_Herbert,Roger_Needham
Andrew_McCallum,Sebastian_Thrun
Andrew_McCallum,Tom_M._Mitchell
Andrew_Ng,Daphne_Koller
Andrew_Ng,Michael_I._Jordan
Andrew_Ng,Sebastian_Thrun
Andrew_S._Tanenbaum,Andries_van_Dam
Andrew_S._Tanenbaum,Linus_Torvalds
Andrey_Ershov,Donald_Knuth
Andrey_Nikolaevich_Kolmogorov,Leonid_Levin
Andries_van_Dam,Andrew_S._Tanenbaum
Andries_van_Dam,James_D._Foley
Andries_van_Dam,Randy_Pausch
Anil_K._Jain_(computer_scientist,_born_1948),Herbert_A._Simon
Aravind_K._Joshi,Donald_Norman
Aravind_K._Joshi,Makoto_Nagao
Arne_S%C3%B8lvberg,B%C3%B6rje_Langefors
Arne_S%C3%B8lvberg,John_Krogstie
Arne_S%C3%B8lvberg,Sjaak_Brinkkemper
Avinash_Kak,Azriel_Rosenfeld
B%C3%B6rje_Langefors,Arne_S%C3%B8lvberg
Barbara_Liskov,Adi_Shamir
Barbara_Liskov,Alan_Kay
Barbara_Liskov,Alan_Perlis
Barbara_Liskov,Allen_Newell
Barbara_Liskov,Amir_Pnueli
Barbara_Liskov,Charles_Bachman
Barbara_Liskov,Charles_P._Thacker
Barbara_Liskov,Dana_Scott
Barbara_Liskov,Dennis_Ritchie
Barbara_Liskov,Donald_Knuth
Barbara_Liskov,Douglas_Engelbart
Barbara_Liskov,E._Allen_Emerson
Barbara_Liskov,Edgar_F._Codd
Barbara_Liskov,Edmund_M._Clarke
Barbara_Liskov,Edward_Feigenbaum
Barbara_Liskov,Fernando_J._Corbat%C3%B3
Barbara_Liskov,Frances_E._Allen
Barbara_Liskov,Fred_Brooks
Barbara_Liskov,Herbert_A._Simon
Barbara_Liskov,Ivan_Sutherland
Barbara_Liskov,James_H._Wilkinson
Barbara_Liskov,Jim_Gray_(computer_scientist)
Barbara_Liskov,John_Backus
Barbara_Liskov,John_Cocke
Barbara_Liskov,John_Hopcroft
Barbara_Liskov,John_McCarthy_(computer_scientist)
Barbara_Liskov,Joseph_Sifakis
Barbara_Liskov,Judea_Pearl
Barbara_Liskov,Juris_Hartmanis
Barbara_Liskov,Kenneth_E._Iverson
Barbara_Liskov,Kristen_Nygaard
Barbara_Liskov,Leonard_Adleman
Barbara_Liskov,Leslie_Lamport
Barbara_Liskov,Leslie_Valiant
Barbara_Liskov,Manuel_Blum
Barbara_Liskov,Marvin_Minsky
Barbara_Liskov,Michael_O._Rabin
Barbara_Liskov,Michael_Stonebraker
Barbara_Liskov,Niklaus_Wirth
Barbara_Liskov,Ole-Johan_Dahl
Barbara_Liskov,Peter_Naur
Barbara_Liskov,Raj_Reddy
Barbara_Liskov,Richard_E._Stearns
Barbara_Liskov,Richard_Hamming
Barbara_Liskov,Richard_Karp
Barbara_Liskov,Robert_Tarjan
Barbara_Liskov,Robin_Milner
Barbara_Liskov,Ron_Rivest
Barbara_Liskov,Shafi_Goldwasser
Barbara_Liskov,Silvio_Micali
Barbara_Liskov,Stephen_Cook
Barbara_Liskov,Vint_Cerf
Barbara_Liskov,William_Kahan
Barry_Boehm,Bertrand_Meyer
Barry_Boehm,David_Parnas
Barry_Boehm,Edward_Yourdon
Barry_Boehm,Fred_Brooks
Barry_Boehm,Grady_Booch
Barry_Boehm,Ivar_Jacobson
Barry_Boehm,James_Rumbaugh
Barry_Boehm,Martin_Fowler
Barry_Boehm,Niklaus_Wirth
Barry_Boehm,Tom_DeMarco
Barry_Boehm,Watts_Humphrey
Barry_Boehm,Winston_W._Royce
Beatrice_Helen_Worsley,Alan_Turing
Bernhard_Thalheim,Peter_Chen
Bert_Sutherland,Claude_Shannon
Bert_Sutherland,Ivan_Sutherland
Bertrand_Meyer,Barry_Boehm
Bertrand_Meyer,David_Parnas
Bertrand_Meyer,Edward_Yourdon
Bertrand_Meyer,Fred_Brooks
Bertrand_Meyer,Grady_Booch
Bertrand_Meyer,Ivar_Jacobson
